qual	method	off	on
21	gsnap	0.107660562566	0.752906443487
21	last	0.102066221907	0.759845684546
21	bis1	0.0743589003185	0.561841289293
21	bis2	0.0851252235773	0.628742865229
21	real_R1	0.0687908148841	0.651425698258
21	bsmap	0.08141295236	0.611074087893
21	bsmooth	0.0876880005119	0.713270152022
22	bwa	0.101086076296	0.760874286127
22	gsnap	0.107660562566	0.752906443487
22	last	0.100562207923	0.757603903692
22	bis1	0.0743589003185	0.561841289293
22	bis2	0.0851252235773	0.628742865229
22	real_R1	0.0651918218584	0.646513251768
22	bsmap	0.08141295236	0.611074087893
22	bsmooth	0.0866357148388	0.711837190313
23	bwa	0.100820755136	0.760608717743
23	gsnap	0.107660562566	0.752906443487
23	last	0.10032225198	0.757213140903
23	bis1	0.0743589003185	0.561841289293
23	bis2	0.0851252235773	0.628742865229
23	real_R1	0.0605993331074	0.6459989757
23	bsmap	0.08141295236	0.611074087893
23	bsmooth	0.0858037060511	0.711062438682
24	bwa	0.100543863877	0.760299489541
24	gsnap	0.107660562566	0.752906443487
24	last	0.0999706989714	0.756668011237
24	bis1	0.0743589003185	0.561841289293
24	bis2	0.0851252235773	0.628742865229
24	real_R1	0.0605993331074	0.6459989757
24	bsmap	0.08141295236	0.611074087893
24	bsmooth	0.0824080303212	0.693268120827
25	bwa	0.100219060542	0.759905166722
25	gsnap	0.107660562566	0.752906443487
25	last	0.0979191819683	0.753850642679
25	bis1	0.0743589003185	0.561841289293
25	bis2	0.0851252235773	0.628742865229
25	real_R1	0.0604645958431	0.645692862525
25	bsmap	0.08141295236	0.611074087893
25	bsmooth	0.077956805557	0.669711547542
26	bwa	0.0998230565967	0.759383622258
26	gsnap	0.107660562566	0.752906443487
26	last	0.0977465699354	0.753600946098
26	bis1	0.0743589003185	0.561841289293
26	bis2	0.0851252235773	0.628742865229
26	real_R1	0.0576998860691	0.642352812271
26	bsmap	0.08141295236	0.611074087893
26	bsmooth	0.0770089968892	0.668641313382
27	bwa	0.0994342221576	0.758974663758
27	gsnap	0.107660562566	0.752906443487
27	last	0.0975642172635	0.753344129455
27	bis1	0.0743589003185	0.561841289293
27	bis2	0.0851252235773	0.628742865229
27	real_R1	0.0576998860691	0.642352812271
27	bsmap	0.08141295236	0.611074087893
27	bsmooth	0.0764266352382	0.668169906014
28	bwa	0.0990300598095	0.758451883172
28	gsnap	0.107660562566	0.752906443487
28	last	0.0972706630844	0.752911387974
28	bis1	0.0743589003185	0.561841289293
28	bis2	0.0851252235773	0.628742865229
28	real_R1	0.0576998860691	0.642352812271
28	bsmap	0.08141295236	0.611074087893
28	bsmooth	0.0761301638118	0.667961792566
29	bwa	0.0984327163636	0.75770932015
29	gsnap	0.107660562566	0.752906443487
29	last	0.0971271740785	0.752683348244
29	bis1	0.0743589003185	0.561841289293
29	bis2	0.0851252235773	0.628742865229
29	real_R1	0.0575607482116	0.641621127119
29	bsmap	0.08141295236	0.611074087893
29	bsmooth	0.0761301638118	0.667961792566
30	bwa	0.0979444482957	0.756989847881
30	gsnap	0.107660562566	0.752906443487
30	last	0.0969570837338	0.752417186522
30	bis1	0.0743589003185	0.561841289293
30	bis2	0.0851252235773	0.628742865229
30	real_R1	0.0575607482116	0.641621127119
30	bsmap	0.08141295236	0.611074087893
30	bsmooth	0.0761301638118	0.667961792566
31	bwa	0.097299934446	0.755967871912
31	gsnap	0.107660562566	0.752906443487
31	last	0.0965096076817	0.751872106301
31	bis1	0.0743589003185	0.561841289293
31	bis2	0.0851252235773	0.628742865229
31	real_R1	0.0575607482116	0.641621127119
31	bsmap	0.08141295236	0.611074087893
31	bsmooth	0.0733981370954	0.662877624051
32	bwa	0.0962848313134	0.754313446641
32	gsnap	0.107660562566	0.752906443487
32	last	0.0963388251089	0.751617663012
32	bis1	0.0743589003185	0.561841289293
32	bis2	0.0851252235773	0.628742865229
32	real_R1	0.0575506614586	0.641529654114
32	bsmap	0.08141295236	0.611074087893
32	bsmooth	0.0715656608559	0.659735303823
33	bwa	0.0962034450613	0.754247042183
33	gsnap	0.107660562566	0.752906443487
33	last	0.0961425784292	0.751331871677
33	bis1	0.0743589003185	0.561841289293
33	bis2	0.0851252235773	0.628742865229
33	real_R1	0.0568270358207	0.640164926323
33	bsmap	0.08141295236	0.611074087893
33	bsmooth	0.0700561584918	0.657441704748
34	bwa	0.0939949900482	0.751407324545
34	gsnap	0.10757131458	0.75258791965
34	last	0.0958198517781	0.750863084887
34	bis1	0.0743589003185	0.561841289293
34	bis2	0.0851252235773	0.628742865229
34	real_R1	0.0555819646087	0.63806109665
34	bsmap	0.08141295236	0.611074087893
34	bsmooth	0.0700042908256	0.657406203333
35	bwa	0.0938754323583	0.751306061456
35	gsnap	0.10757131458	0.75258791965
35	last	0.0955865708926	0.750516773034
35	bis1	0.0743589003185	0.561841289293
35	bis2	0.0851252235773	0.628742865229
35	real_R1	0.0541539473865	0.63544798484
35	bsmap	0.08141295236	0.611074087893
35	bsmooth	0.0686362502278	0.65552462834
36	bwa	0.0937705103492	0.751196343295
36	gsnap	0.10757131458	0.75258791965
36	last	0.0953367259764	0.750156913287
36	bis1	0.0743589003185	0.561841289293
36	bis2	0.0851252235773	0.628742865229
36	real_R1	0.0530114742749	0.634232728883
36	bsmap	0.08141295236	0.611074087893
36	bsmooth	0.0674114019667	0.654155846069
37	bwa	0.0935754997912	0.750971319702
37	gsnap	0.10757131458	0.75258791965
37	last	0.094907297301	0.74959175845
37	bis1	0.0743589003185	0.561841289293
37	bis2	0.0851252235773	0.628742865229
37	real_R1	0.0527589593358	0.631942887618
37	bsmap	0.08141295236	0.611074087893
37	bsmooth	0.066385865967	0.653187616671
38	bwa	0.093388795971	0.750747977235
38	gsnap	0.107501201758	0.752249222306
38	last	0.0946252143311	0.749163961456
38	bis1	0.0743589003185	0.561841289293
38	bis2	0.0851252235773	0.628742865229
38	real_R1	0.050135414659	0.628726993427
38	bsmap	0.08141295236	0.611074087893
38	bsmooth	0.0654962044636	0.65245410206
39	bwa	0.0932952462814	0.750680138877
39	gsnap	0.107501201758	0.752249222306
39	last	0.09434545527	0.748765287488
39	bis1	0.0743589003185	0.561841289293
39	bis2	0.0851252235773	0.628742865229
39	real_R1	0.04771439616	0.625066293206
39	bsmap	0.08141295236	0.611074087893
39	bsmooth	0.0648415049712	0.651986501947
40	bwa	0.0929215914167	0.750316817989
40	gsnap	0.107501201758	0.752249222306
40	last	0.0938670267308	0.748028707295
40	bis1	0.0743589003185	0.561841289293
40	bis2	0.0851252235773	0.628742865229
40	real_R1	0.0453723905595	0.619329205214
40	bsmap	0.08141295236	0.611074087893
40	bsmooth	0.0645388529364	0.651777004043
41	bwa	0.0852942755798	0.740681051629
41	gsnap	0.0	0.0
41	last	0.0935784170384	0.747582615699
41	bis1	0.0743589003185	0.561841289293
41	bis2	0.0851252235773	0.628742865229
41	real_R1	0.0393976705336	0.571600667822
41	bsmap	0.08141295236	0.611074087893
41	bsmooth	0.0583586894855	0.617285797169
42	bwa	0.084933328046	0.74019896417
42	gsnap	0.0	0.0
42	last	0.0932111900064	0.747024778702
42	bis1	0.0743589003185	0.561841289293
42	bis2	0.0851252235773	0.628742865229
42	real_R1	0.038796865947	0.565813887738
42	bsmap	0.08141295236	0.611074087893
42	bsmooth	0.0583586894855	0.617285797169
43	bwa	0.0844152447229	0.739488836981
43	gsnap	0.0	0.0
43	last	0.0922845931869	0.745576983533
43	bis1	0.0743589003185	0.561841289293
43	bis2	0.0851252235773	0.628742865229
43	real_R1	0.0372117129354	0.552881829832
43	bsmap	0.08141295236	0.611074087893
43	bsmooth	0.0	0.0
44	bwa	0.0838247246687	0.738675716132
44	gsnap	0.0	0.0
44	last	0.0919396657903	0.7450045603
44	bis1	0.0743589003185	0.561841289293
44	bis2	0.0851252235773	0.628742865229
