qual	method	off	on
19	last	0.004518	0.900002
20	bwa	6.1e-05	0.899689
20	sim_R1	0.00569	0.765494
20	bsmap	0.005684	0.905166
20	gsnap	0.0045975	0.9147665
20	bis2	0.0026475	0.8302995
20	bsmooth	0.0051215	0.861463
20	bis1	0.00943	0.844797
20	last	0.004319	0.8994475
21	bwa	5.9e-05	0.899232
21	sim_R1	0.005547	0.765494
21	bsmap	0.005684	0.905166
21	gsnap	0.0045975	0.9147665
21	bis2	0.0026475	0.8302995
21	bsmooth	0.0051215	0.861463
21	bis1	0.00943	0.844797
21	last	0.0041575	0.899012
22	bwa	5.6e-05	0.8986815
22	sim_R1	0.005417	0.743406
22	bsmap	0.005684	0.905166
22	gsnap	0.0045975	0.9147665
22	bis2	0.0026475	0.8302995
22	bsmooth	0.0049375	0.854049
22	bis1	0.00943	0.844797
22	last	0.003902	0.897587
23	bwa	5.4e-05	0.898102
23	sim_R1	0.000717	0.743402
23	bsmap	0.005684	0.905166
23	gsnap	0.0045975	0.9147665
23	bis2	0.0026475	0.8302995
23	bsmooth	0.004836	0.847073
23	bis1	0.00943	0.844797
23	last	0.003816	0.8973125
24	bwa	5.3e-05	0.8974445
24	sim_R1	0.000717	0.743402
24	bsmap	0.005684	0.905166
24	gsnap	0.0045975	0.9147665
24	bis2	0.0026475	0.8302995
24	bsmooth	0.0042485	0.847043
24	bis1	0.00943	0.844797
24	last	0.0036725	0.896802
25	bwa	5.15e-05	0.896917
25	sim_R1	0.000489	0.743402
25	bsmap	0.005684	0.905166
25	gsnap	0.0045975	0.9147665
25	bis2	0.0026475	0.8302995
25	bsmooth	0.0037495	0.847025
25	bis1	0.00943	0.844797
25	last	0.0034045	0.895069
26	bwa	5.05e-05	0.896306
26	sim_R1	0.00041	0.729453
26	bsmap	0.005684	0.905166
26	gsnap	0.0045975	0.9147665
26	bis2	0.0026475	0.8302995
26	bsmooth	0.0036	0.839212
26	bis1	0.00943	0.844797
26	last	0.003354	0.8949335
27	bwa	4.85e-05	0.89559
27	sim_R1	0.00041	0.729453
27	bsmap	0.005684	0.905166
27	gsnap	0.0045975	0.9147665
27	bis2	0.0026475	0.8302995
27	bsmooth	0.0035135	0.8317765
27	bis1	0.00943	0.844797
27	last	0.003297	0.8947745
28	bwa	4.6e-05	0.8951235
28	sim_R1	0.00041	0.729453
28	bsmap	0.005684	0.905166
28	gsnap	0.0045975	0.9147665
28	bis2	0.0026475	0.8302995
28	bsmooth	0.003492	0.827352
28	bis1	0.00943	0.844797
28	last	0.003235	0.894545
29	bwa	4.6e-05	0.8944125
29	sim_R1	0.000255	0.72945
29	bsmap	0.005684	0.905166
29	gsnap	0.0045975	0.9147665
29	bis2	0.0026475	0.8302995
29	bsmooth	0.003492	0.827352
29	bis1	0.00943	0.844797
29	last	0.003189	0.8943875
30	bwa	4.5e-05	0.893846
30	sim_R1	0.000255	0.72945
30	bsmap	0.005684	0.905166
30	gsnap	0.0045975	0.9147665
30	bis2	0.0026475	0.8302995
30	bsmooth	0.003492	0.827352
30	bis1	0.00943	0.844797
30	last	0.00313	0.894188
31	bwa	4.5e-05	0.893222
31	sim_R1	0.000255	0.72945
31	bsmap	0.005684	0.905166
31	gsnap	0.0045975	0.9147665
31	bis2	0.0026475	0.8302995
